"","jaccard","spear","type"
"105",0.563492063492063,0.871321503940645,"dense"
"106",0.643835616438356,0.878099903232259,"dense"
"107",0.673684210526316,0.932342202881472,"dense"
"108",0.718253968253968,0.950449172686457,"dense"
"109",0.636094674556213,0.939038654303573,"dense"
"110",0.576576576576577,0.938265083165955,"dense"
"111",0.677053824362606,0.934699796855265,"dense"
"112",0.657142857142857,0.860387626914232,"dense"
"113",0.645739910313901,0.924082672337476,"dense"
"114",0.670454545454545,0.916817168361081,"dense"
"115",0.709897610921502,0.935280589937132,"dense"
"116",0.659574468085106,0.925223625146622,"dense"
"117",0.58695652173913,0.791860252289642,"dense"
"118",0.629508196721312,0.920038718412544,"dense"
"119",0.657992565055762,0.940005254692361,"dense"
"120",0.59349593495935,0.900165551222834,"dense"
"121",0.652173913043478,0.909285179924131,"dense"
"122",0.633507853403141,0.909841449956,"dense"
"123",0.675675675675676,0.907530321616168,"dense"
"124",0.631578947368421,0.909868625453423,"dense"
"125",0.609375,0.882062361972171,"dense"
"126",0.630281690140845,0.891064491673645,"dense"
"127",0.589285714285714,0.846568435150793,"dense"
"128",0.575971731448763,0.890403056072458,"dense"
"129",0.690402476780186,0.918189056025187,"dense"
"130",0.666666666666667,0.938643881978283,"dense"
"131",0.699186991869919,0.845109787875117,"dense"
"132",0.619672131147541,0.86105470831963,"dense"
"133",0.700819672131147,0.891071295072625,"dense"
"134",0.650190114068441,0.931164624961001,"dense"
"135",0.610441767068273,0.899253552665477,"dense"
"136",0.688311688311688,0.928971051175333,"dense"
"137",0.645038167938931,0.913982597319324,"dense"
"138",0.659259259259259,0.908789560064745,"dense"
"139",0.627450980392157,0.880080347471746,"dense"
"140",0.710622710622711,0.900763095963526,"dense"
"141",0.645833333333333,0.926404610318934,"dense"
"142",0.642857142857143,0.904774292963799,"dense"
"143",0.675438596491228,0.87505387669682,"dense"
"144",0.619512195121951,0.890263216788756,"dense"
"145",0.610576923076923,0.821407138988903,"dense"
"146",0.672661870503597,0.864473947869899,"dense"
"147",0.642066420664207,0.891095257472975,"dense"
"148",0.65606936416185,0.92945865595937,"dense"
"149",0.654471544715447,0.912995161540878,"dense"
"150",0.722408026755853,0.884507885574672,"dense"
"151",0.60983606557377,0.925090887999806,"dense"
"152",0.731182795698925,0.939689362357989,"dense"
"153",0.685714285714286,0.943108033858592,"dense"
"154",0.69140625,0.926106105735346,"dense"
"155",0.591591591591592,0.902750078901139,"dense"
"156",0.680203045685279,0.943914003663339,"dense"
"157",0.659836065573771,0.920435153653293,"dense"
"158",0.712941176470588,0.948220590960075,"dense"
"159",0.665529010238908,0.932449184811136,"dense"
"160",0.604810996563574,0.890417431283313,"dense"
"161",0.665594855305466,0.937730055803475,"dense"
"162",0.67741935483871,0.937864218395855,"dense"
"163",0.721590909090909,0.932306309317861,"dense"
"164",0.6328125,0.870444321830476,"dense"
"165",0.66374269005848,0.930624374090213,"dense"
"166",0.666666666666667,0.883451010490063,"dense"
"167",0.64,0.907013472054905,"dense"
"168",0.642045454545455,0.940233807520806,"dense"
"169",0.735,0.904569607018826,"dense"
"170",0.580808080808081,0.822231276564885,"dense"
"171",0.643171806167401,0.89262305749749,"dense"
"172",0.580188679245283,0.860083912645582,"dense"
"173",0.663594470046083,0.909187949841969,"dense"
"174",0.637992831541219,0.920108934339801,"dense"
"175",0.578274760383387,0.882173386301036,"dense"
"176",0.662251655629139,0.90663725893065,"dense"
"177",0.656716417910448,0.905687832559811,"dense"
"178",0.674641148325359,0.923824378045874,"dense"
"179",0.702072538860104,0.915570824929403,"dense"
"180",0.593333333333333,0.916471165407739,"dense"
"181",0.704918032786885,0.859996673390115,"dense"
"182",0.681222707423581,0.881377989944251,"dense"
"183",0.675182481751825,0.921815551432123,"dense"
"184",0.713592233009709,0.918591513441902,"dense"
"185",0.650485436893204,0.945863181287734,"dense"
"186",0.708333333333333,0.940966870225037,"dense"
"187",0.644859813084112,0.897623300256144,"dense"
"188",0.711111111111111,0.955828854088454,"dense"
"189",0.729083665338645,0.922534994082961,"dense"
"190",0.699738903394256,0.90442052785721,"dense"
"191",0.691218130311615,0.943130599657547,"dense"
"192",0.625550660792952,0.92377110262791,"dense"
"193",0.670212765957447,0.912112520474685,"dense"
"194",0.684647302904564,0.933948832703629,"dense"
"195",0.680497925311203,0.887209719280636,"dense"
"196",0.653710247349823,0.889044547277256,"dense"
"197",0.660839160839161,0.920965246269679,"dense"
"198",0.608695652173913,0.914763628444322,"dense"
"199",0.677165354330709,0.856406553885288,"dense"
"200",0.656028368794326,0.918781913199837,"dense"
